Município,Quantidade_SUS,Quantidade_Não_SUS
110001 ALTA FLORESTA D'OESTE,43,6
110002 ARIQUEMES,138,105
110003 CABIXI,8,-
110004 CACOAL,321,80
110005 CEREJEIRAS,40,-
110006 COLORADO DO OESTE,50,-
110007 CORUMBIARA,10,-
110008 COSTA MARQUES,45,-
110009 ESPIGAO D'OESTE,36,18
110010 GUAJARA-MIRIM,105,9
110011 JARU,100,15
110012 JI-PARANA,186,121
110013 MACHADINHO D'OESTE,48,-
110014 NOVA BRASILANDIA D'OESTE,44,-
110015 OURO PRETO DO OESTE,51,77
110018 PIMENTA BUENO,48,12
110020 PORTO VELHO,1397,502
110025 PRESIDENTE MEDICI,48,-
110026 RIO CRESPO,8,-
110028 ROLIM DE MOURA,68,16
110029 SANTA LUZIA D'OESTE,25,-
110030 VILHENA,195,21
110032 SAO MIGUEL DO GUAPORE,43,-
110033 NOVA MAMORE,35,-
110034 ALVORADA D'OESTE,35,-
110037 ALTO ALEGRE DOS PARECIS,24,-
110040 ALTO PARAISO,16,-
110045 BURITIS,32,34
110050 NOVO HORIZONTE DO OESTE,23,-
110060 CACAULANDIA,13,-
110070 CAMPO NOVO DE RONDONIA,19,-
110080 CANDEIAS DO JAMARI,15,-
110090 CASTANHEIRAS,7,-
110092 CHUPINGUAIA,11,-
110094 CUJUBIM,26,-
110100 GOVERNADOR JORGE TEIXEIRA,21,1
110110 ITAPUA DO OESTE,20,-
110120 MINISTRO ANDREAZZA,16,-
110130 MIRANTE DA SERRA,25,8
110140 MONTE NEGRO,24,-
110143 NOVA UNIAO,16,-
110145 PARECIS,8,-
110146 PIMENTEIRAS DO OESTE,6,-
110148 SAO FELIPE D'OESTE,12,-
110149 SAO FRANCISCO DO GUAPORE,31,-
110150 SERINGUEIRAS,36,-
110155 TEIXEIROPOLIS,12,-
110160 THEOBROMA,13,-
110170 URUPA,25,-
110175 VALE DO ANARI,12,-
110180 VALE DO PARAISO,16,-
120001 ACRELANDIA,7,-
120005 ASSIS BRASIL,12,-
120010 BRASILEIA,41,-
120020 CRUZEIRO DO SUL,184,14
120030 FEIJO,42,-
120032 JORDAO,10,-
120033 MANCIO LIMA,32,-
120034 MANOEL URBANO,23,-
120035 MARECHAL THAUMATURGO,13,-
120038 PLACIDO DE CASTRO,44,-
120039 PORTO WALTER,14,-
120040 RIO BRANCO,861,131
120042 RODRIGUES ALVES,16,-
120043 SANTA ROSA DO PURUS,16,-
120045 SENADOR GUIOMARD,29,-
120050 SENA MADUREIRA,30,-
120060 TARAUACA,42,-
120070 XAPURI,34,-
130002 ALVARAES,38,-
130006 AMATURA,26,-
130008 ANAMA,20,-
130010 ANORI,23,-
130014 APUI,36,-
130020 ATALAIA DO NORTE,16,-
130030 AUTAZES,41,-
130040 BARCELOS,30,-
130050 BARREIRINHA,30,-
130060 BENJAMIN CONSTANT,48,-
130063 BERURI,22,-
130068 BOA VISTA DO RAMOS,22,-
130070 BOCA DO ACRE,60,-
130080 BORBA,38,-
130083 CAAPIRANGA,20,-
130090 CANUTAMA,24,-
130100 CARAUARI,45,-
130110 CAREIRO,20,-
130115 CAREIRO DA VARZEA,19,-
130120 COARI,101,4
130130 CODAJAS,47,-
130140 EIRUNEPE,76,-
130150 ENVIRA,24,-
130160 FONTE BOA,58,-
130165 GUAJARA,20,-
130170 HUMAITA,39,1
130180 IPIXUNA,26,-
130185 IRANDUBA,40,-
130190 ITACOATIARA,110,-
130195 ITAMARATI,25,-
130200 ITAPIRANGA,29,-
130210 JAPURA,20,-
130220 JURUA,20,-
130230 JUTAI,18,-
130240 LABREA,56,-
130250 MANACAPURU,72,-
130255 MANAQUIRI,30,-
130260 MANAUS,2826,778
130270 MANICORE,49,-
130280 MARAA,19,-
130290 MAUES,95,-
130300 NHAMUNDA,24,-
130310 NOVA OLINDA DO NORTE,41,-
130320 NOVO AIRAO,26,-
130330 NOVO ARIPUANA,32,2
130340 PARINTINS,166,10
130350 PAUINI,26,-
130353 PRESIDENTE FIGUEIREDO,29,-
130356 RIO PRETO DA EVA,23,-
130360 SANTA ISABEL DO RIO NEGRO,20,1
130370 SANTO ANTONIO DO ICA,25,28
130380 SAO GABRIEL DA CACHOEIRA,88,-
130390 SAO PAULO DE OLIVENCA,46,-
130395 SAO SEBASTIAO DO UATUMA,20,-
130400 SILVES,27,-
130406 TABATINGA,63,-
130410 TAPAUA,30,-
130420 TEFE,93,12
130423 TONANTINS,33,-
130426 UARINI,20,-
130430 URUCARA,40,-
130440 URUCURITUBA,32,-
140005 ALTO ALEGRE,22,4
