Município,Sim,Não,Total
110001 ALTA FLORESTA D'OESTE,396,30,426
110002 ARIQUEMES,1330,407,1737
110003 CABIXI,101,16,117
110004 CACOAL,2515,642,3157
110005 CEREJEIRAS,259,17,276
110006 COLORADO DO OESTE,209,6,215
110007 CORUMBIARA,132,28,160
110008 COSTA MARQUES,151,-,151
110009 ESPIGAO D'OESTE,275,101,376
110010 GUAJARA-MIRIM,694,107,801
110011 JARU,672,197,869
110012 JI-PARANA,1942,692,2634
110013 MACHADINHO D'OESTE,451,21,472
110014 NOVA BRASILANDIA D'OESTE,162,16,178
110015 OURO PRETO DO OESTE,390,103,493
110018 PIMENTA BUENO,474,266,740
110020 PORTO VELHO,11402,2406,13808
110025 PRESIDENTE MEDICI,214,34,248
110026 RIO CRESPO,99,1,100
110028 ROLIM DE MOURA,543,208,751
110029 SANTA LUZIA D'OESTE,116,1,117
110030 VILHENA,1717,605,2322
110032 SAO MIGUEL DO GUAPORE,189,48,237
110033 NOVA MAMORE,298,11,309
110034 ALVORADA D'OESTE,166,22,188
110037 ALTO ALEGRE DOS PARECIS,126,10,136
110040 ALTO PARAISO,151,14,165
110045 BURITIS,384,61,445
110050 NOVO HORIZONTE DO OESTE,112,-,112
110060 CACAULANDIA,72,6,78
110070 CAMPO NOVO DE RONDONIA,157,4,161
110080 CANDEIAS DO JAMARI,286,2,288
110090 CASTANHEIRAS,105,-,105
110092 CHUPINGUAIA,162,9,171
110094 CUJUBIM,172,3,175
110100 GOVERNADOR JORGE TEIXEIRA,99,1,100
110110 ITAPUA DO OESTE,130,3,133
110120 MINISTRO ANDREAZZA,88,6,94
110130 MIRANTE DA SERRA,79,10,89
110140 MONTE NEGRO,214,14,228
110143 NOVA UNIAO,85,3,88
110145 PARECIS,71,3,74
110146 PIMENTEIRAS DO OESTE,64,-,64
110147 PRIMAVERA DE RONDONIA,68,-,68
110148 SAO FELIPE D'OESTE,90,3,93
110149 SAO FRANCISCO DO GUAPORE,278,19,297
110150 SERINGUEIRAS,113,22,135
110155 TEIXEIROPOLIS,60,-,60
110160 THEOBROMA,150,1,151
110170 URUPA,114,28,142
110175 VALE DO ANARI,99,2,101
110180 VALE DO PARAISO,92,-,92
120001 ACRELANDIA,223,2,225
120005 ASSIS BRASIL,181,1,182
120010 BRASILEIA,622,17,639
120013 BUJARI,88,2,90
120017 CAPIXABA,132,-,132
120020 CRUZEIRO DO SUL,2177,129,2306
120025 EPITACIOLANDIA,152,2,154
120030 FEIJO,321,5,326
120032 JORDAO,149,2,151
120033 MANCIO LIMA,280,5,285
120034 MANOEL URBANO,152,-,152
120035 MARECHAL THAUMATURGO,294,-,294
120038 PLACIDO DE CASTRO,371,1,372
120039 PORTO WALTER,197,-,197
120040 RIO BRANCO,7570,1726,9296
120042 RODRIGUES ALVES,201,1,202
120043 SANTA ROSA DO PURUS,136,-,136
120045 SENADOR GUIOMARD,301,5,306
120050 SENA MADUREIRA,627,18,645
120060 TARAUACA,425,17,442
120070 XAPURI,242,2,244
120080 PORTO ACRE,145,1,146
130002 ALVARAES,316,-,316
130006 AMATURA,289,-,289
