Município,Nascim_p/resid.mãe
 MUNICIPIO IGNORADO - RO,3
110001 ALTA FLORESTA D'OESTE,383
110002 ARIQUEMES,1515
110003 CABIXI,77
110004 CACOAL,1343
110005 CEREJEIRAS,280
110006 COLORADO DO OESTE,188
110007 CORUMBIARA,97
110008 COSTA MARQUES,219
110009 ESPIGAO D'OESTE,479
110010 GUAJARA-MIRIM,730
110011 JARU,895
110012 JI-PARANA,1915
110013 MACHADINHO D'OESTE,507
110014 NOVA BRASILANDIA D'OESTE,228
110015 OURO PRETO DO OESTE,534
110018 PIMENTA BUENO,615
110020 PORTO VELHO,6643
110025 PRESIDENTE MEDICI,247
110026 RIO CRESPO,33
110028 ROLIM DE MOURA,824
110029 SANTA LUZIA D'OESTE,72
110030 VILHENA,1486
110032 SAO MIGUEL DO GUAPORE,344
110033 NOVA MAMORE,463
110034 ALVORADA D'OESTE,199
110037 ALTO ALEGRE DOS PARECIS,170
110040 ALTO PARAISO,216
110045 BURITIS,497
110050 NOVO HORIZONTE DO OESTE,70
110060 CACAULANDIA,56
110070 CAMPO NOVO DE RONDONIA,138
110080 CANDEIAS DO JAMARI,339
110090 CASTANHEIRAS,47
110092 CHUPINGUAIA,168
110094 CUJUBIM,208
110100 GOVERNADOR JORGE TEIXEIRA,95
110110 ITAPUA DO OESTE,96
110120 MINISTRO ANDREAZZA,68
110130 MIRANTE DA SERRA,109
110140 MONTE NEGRO,173
110143 NOVA UNIAO,72
110145 PARECIS,38
110146 PIMENTEIRAS DO OESTE,48
110147 PRIMAVERA DE RONDONIA,41
110148 SAO FELIPE D'OESTE,65
110149 SAO FRANCISCO DO GUAPORE,263
110150 SERINGUEIRAS,199
110155 TEIXEIROPOLIS,48
110160 THEOBROMA,73
110170 URUPA,168
110175 VALE DO ANARI,68
110180 VALE DO PARAISO,69
120001 ACRELANDIA,248
120005 ASSIS BRASIL,257
120010 BRASILEIA,519
120013 BUJARI,256
120017 CAPIXABA,180
120020 CRUZEIRO DO SUL,1541
120025 EPITACIOLANDIA,281
120030 FEIJO,848
120032 JORDAO,275
120033 MANCIO LIMA,354
120034 MANOEL URBANO,288
120035 MARECHAL THAUMATURGO,410
120038 PLACIDO DE CASTRO,249
120039 PORTO WALTER,226
120040 RIO BRANCO,5149
120042 RODRIGUES ALVES,285
120043 SANTA ROSA DO PURUS,201
120045 SENADOR GUIOMARD,346
120050 SENA MADUREIRA,783
120060 TARAUACA,1130
120070 XAPURI,304
120080 PORTO ACRE,343
 MUNICIPIO IGNORADO - AM,12
130002 ALVARAES,306
130006 AMATURA,240
130008 ANAMA,192
130010 ANORI,208
130014 APUI,273
130020 ATALAIA DO NORTE,359
130030 AUTAZES,819
130040 BARCELOS,511
130050 BARREIRINHA,789
130060 BENJAMIN CONSTANT,983
130063 BERURI,438
130068 BOA VISTA DO RAMOS,264
130070 BOCA DO ACRE,728
130080 BORBA,681
130083 CAAPIRANGA,171
130090 CANUTAMA,186
130100 CARAUARI,540
130110 CAREIRO,482
130115 CAREIRO DA VARZEA,208
130120 COARI,1485
130130 CODAJAS,393
130140 EIRUNEPE,728
130150 ENVIRA,310
130160 FONTE BOA,580
130165 GUAJARA,299
130170 HUMAITA,945
130180 IPIXUNA,405
130185 IRANDUBA,981
130190 ITACOATIARA,1788
130195 ITAMARATI,315
130200 ITAPIRANGA,184
130210 JAPURA,205
130220 JURUA,190
130230 JUTAI,655
130240 LABREA,822
130250 MANACAPURU,1965
130255 MANAQUIRI,238
130260 MANAUS,33479
130270 MANICORE,915
130280 MARAA,372
130290 MAUES,1316
130300 NHAMUNDA,302
130310 NOVA OLINDA DO NORTE,569
130320 NOVO AIRAO,305
130330 NOVO ARIPUANA,347
130340 PARINTINS,1783
130350 PAUINI,352
130353 PRESIDENTE FIGUEIREDO,524
130356 RIO PRETO DA EVA,356
130360 SANTA ISABEL DO RIO NEGRO,370
130370 SANTO ANTONIO DO ICA,863
130380 SAO GABRIEL DA CACHOEIRA,1442
130390 SAO PAULO DE OLIVENCA,953
130395 SAO SEBASTIAO DO UATUMA,180
130400 SILVES,195
130406 TABATINGA,1484
130410 TAPAUA,422
130420 TEFE,1824
130423 TONANTINS,372
130426 UARINI,319
130430 URUCARA,244
130440 URUCURITUBA,287
 MUNICIPIO IGNORADO - RR,2
140002 AMAJARI,429
140005 ALTO ALEGRE,661
140010 BOA VISTA,7776
140015 BONFIM,419
140017 CANTA,357
140020 CARACARAI,361
140023 CAROEBE,212
140028 IRACEMA,164
140030 MUCAJAI,354
140040 NORMANDIA,511
140045 PACARAIMA,546
140047 RORAINOPOLIS,532
140050 SAO JOAO DA BALIZA,127
140060 SAO LUIZ,90
140070 UIRAMUTA,564
 MUNICIPIO IGNORADO - PA,2
150010 ABAETETUBA,2453
150013 ABEL FIGUEIREDO,118
150020 ACARA,979
150030 AFUA,1022
150034 AGUA AZUL DO NORTE,217
150040 ALENQUER,1092
150050 ALMEIRIM,655
150060 ALTAMIRA,2226
150070 ANAJAS,799
150080 ANANINDEUA,6142
150085 ANAPU,580
150090 AUGUSTO CORREA,767
150095 AURORA DO PARA,396
150100 AVEIRO,154
150110 BAGRE,561
150120 BAIAO,508
150125 BANNACH,48
150130 BARCARENA,2156
150140 BELEM,15146
150145 BELTERRA,312
150150 BENEVIDES,874
150157 BOM JESUS DO TOCANTINS,238
150160 BONITO,195
150170 BRAGANCA,1859
150172 BRASIL NOVO,310
150175 BREJO GRANDE DO ARAGUAIA,91
150178 BREU BRANCO,740
150180 BREVES,2799
150190 BUJARU,427
150195 CACHOEIRA DO PIRIA,295
150200 CACHOEIRA DO ARARI,354
150210 CAMETA,2209
150215 CANAA DOS CARAJAS,1610
150220 CAPANEMA,937
150230 CAPITAO POCO,775
150240 CASTANHAL,2916
150250 CHAVES,392
150260 COLARES,149
150270 CONCEICAO DO ARAGUAIA,688
150275 CONCORDIA DO PARA,455
150276 CUMARU DO NORTE,164
150277 CURIONOPOLIS,350
150280 CURRALINHO,674
150285 CURUA,215
150290 CURUCA,456
150293 DOM ELISEU,611
150295 ELDORADO DOS CARAJAS,436
150300 FARO,121
150304 FLORESTA DO ARAGUAIA,327
150307 GARRAFAO DO NORTE,387
150309 GOIANESIA DO PARA,459
150310 GURUPA,684
150320 IGARAPE-ACU,473
150330 IGARAPE-MIRI,1019
150340 INHANGAPI,139
150345 IPIXUNA DO PARA,582
150350 IRITUIA,427
150360 ITAITUBA,2340
150370 ITUPIRANGA,754
150375 JACAREACANGA,643
150380 JACUNDA,598
150390 JURUTI,1139
150400 LIMOEIRO DO AJURU,391
150405 MAE DO RIO,506
150410 MAGALHAES BARATA,90
